nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,MSI-H/dMMR,HER2,PD-L1,POLE,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT05838521,A Study of Sacituzumab Govitecan (IMMU-132) in Patients With Recurrent or Persistent Cervical Cancer,PHASE2,Phase 2,RECRUITING,20,Yale University,Yale University,65,0,1,single_arm,1,sacituzumab govitecan,sacituzumab govitecan,TROP2,ADC,TROP2,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT05856981,Phase 1 Study Evaluating the Safety and PK of ADU-1805 in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,130,Sairopa B.V.,Sairopa,1,1,0,multi_experimental,3,adu-1805,adu-1805;pembrolizumab,PD-1,Monoclonal Antibody,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05858736,"Safety, PK and Efficacy of AI-061 in Advanced Solid Tumors",PHASE1,Phase 1,COMPLETED,18,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,ai-061,ai-061,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05862272,A Phase 3B Study to Evaluate Bone Mineral Density With Long-Term Use of Relugolix Combination Tablet in Women With Uterine Fibroids or Endometriosis,PHASE3,Phase 3,RECRUITING,1000,Sumitomo Pharma Switzerland GmbH,Sumitomo Pharma Switzerland,3,1,0,single_arm,1,relugolix combination tablet,relugolix combination tablet,GnRH,Small Molecule,,0,1,0,0,0,0,0,0,0,,
NCT05867251,Study of AVZO-021 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,430,"Avenzo Therapeutics, Inc.",Avenzo Therapeutics,4,1,0,multi_experimental,4,avzo-021,abemaciclib;avzo-021;carboplatin;fulvestrant;letrozole;palbociclib;ribociclib;sacituzumab govitecan-hziy,CDK2,Small Molecule,CCNE1;HER2;ctDNA,0,1,0,1,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT05891171,Study of AB598 Monotherapy and Combination Therapy in Participants With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,40,"Arcus Biosciences, Inc.",Arcus Biosciences,21,1,0,multi_experimental,8,ab598,ab598;fluorouracil;leucovorin;oxaliplatin;zimberelimab,CD39,Monoclonal Antibody,HER2,1,1,0,1,0,0,0,0,1,HER2−,metastatic · adenoca. · measurable (RECIST)
NCT05902988,A Phase I/II Study of VLS-1488 in Subjects With Advanced Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,200,"Volastra Therapeutics, Inc.",Volastra Therapeutics,3,1,0,multi_experimental,4,vls-1488,vls-1488,KIF18A,Small Molecule,MSI;MSI-H;dMMR,0,1,1,0,0,1,0,1,1,"MSI-H/dMMR, POLEm",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05910827,"A Phase Ib/II Study of an Anti-HER3 Antibody, HMBD-001, With Cetuximab +/- Docetaxel in Advanced Squamous Cell Cancers",PHASE1;PHASE2,Phase 2,RECRUITING,398,Hummingbird Bioscience,Hummingbird Bioscience,4,1,1,multi_experimental,3,hmbd-001,cetuximab;docetaxel;hmbd-001,HER3,Monoclonal Antibody,ALK;BRAF;HER3;KRAS;MET;RET,1,1,0,0,0,0,0,0,0,,metastatic · squamous · ECOG 0-1
NCT05919264,FOG-001 in Locally Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,619,"Parabilis Medicines, Inc.",Parabilis Medicines,1,1,0,multi_experimental,19,fog-001,bevacizumab;fog-001;mfolfox-6;nivolumab;trifluridine/tipiracil,β-catenin,Small Molecule,MSI;MSI-H;MSS;PD-L1;Wnt pathway;dMMR,0,1,1,0,1,0,0,1,1,"MSI-H/dMMR, PD-L1+",metastatic · 2nd-line+
NCT05944237,HTL0039732 in Participants With Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,150,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,3,,htl0039732 capsules;htl0039732 capsules and atezolizumab infusion,PD-L1,,HER2;PD-L1;genomic,0,1,0,1,1,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05952947,HRYZ-T101 Injection for HPV18 Positive Solid Tumor,PHASE1,Phase 1,RECRUITING,32,HRYZ Biotech Co.,HRYZ Biotech,8,1,0,single_arm,1,fludarabine + cyclophosphamide;hryz-t101 injection,fludarabine + cyclophosphamide;hryz-t101 injection,,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05973487,A Basket Study of Customized Autologous TCR-T Cell Therapies in Patients With Locally Advanced (Unresectable) or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,840,"TScan Therapeutics, Inc.",TScan Therapeutics,1,1,0,multi_experimental,28,,tsc-200-a0201;tsc-200-a0201 + tsc-201-b0702;tsc-200-a0201 + tsc-202-a0201;tsc-200-a0201 + tsc-203-a0201;tsc-200-a0201 + tsc-204-a0101;tsc-201-b0702;tsc-201-b0702 + tsc-202-a0201;tsc-202-a0201;tsc-203-a0201;tsc-203-a0201 + tsc-201-b0702;tsc-203-a0201 + tsc-202-a0201;tsc-203-a0201 + tsc-204-a0101;tsc-204-a0101;tsc-204-a0101 + tsc-202-a0201;tsc-204-a0201;tsc-204-a0201 + tsc-200-a0201;tsc-204-a0201 + tsc-201-b0702;tsc-204-a0201 + tsc-202-a0201;tsc-204-a0201 + tsc-203-a0201;tsc-204-a0201 + tsc-204-a0101;tsc-204-a0201 + tsc-204-c0702;tsc-204-c0702;tsc-204-c0702 + tsc-200-a0201;tsc-204-c0702 + tsc-201-b0702;tsc-204-c0702 + tsc-202-a0201;tsc-204-c0702 + tsc-203-a0201;tsc-204-c0702 + tsc-204-a0101,,Cell Therapy,genomic,1,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT05983432,Evaluate BL-B01D1 in Patients With Metastatic or Unresectable Non-Small Cell Lung Cancer (NSCLC) and Other Solid Tumors,PHASE1,Phase 1,RECRUITING,470,SystImmune Inc.,SystImmune,7,1,0,multi_experimental,2,bl-b01d1,bl-b01d1,EGFR/HER3,ADC,ALK;EGFR;HER2;MET;PD-L1;ROS1;genomic,1,1,0,1,1,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0-1
NCT05990803,"A Study of BL-B01D1, SI-B003 and BL-B01D1+SI-B003 in Patients With Recurrent or Metastatic Cervical Cancer and Other Gynecological Malignancies",PHASE2,Phase 2,RECRUITING,130,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,bl-b01d1;si-b003,bl-b01d1;si-b003,EGFR/HER3,ADC,,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0-1
NCT05997017,Trial of Nab-Sirolimus in Combination With Letrozole in Patients With Advanced or Recurrent Endometrioid Endometrial Cancer,PHASE2,Phase 2,RECRUITING,29,"Aadi Bioscience, Inc.",Aadi Bioscience,7,1,0,single_arm,1,nab-sirolimus,nab-sirolimus,mTOR,Small Molecule,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT06003231,A Study of Disitamab Vedotin in Previously Treated Solid Tumors That Express HER2,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,120,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,4,disitamab vedotin,disitamab vedotin,HER2,ADC,HER2,1,1,0,1,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT06014190,HS-20089 in Patients With Ovarian Cancer and Endometrial Cancer,PHASE2,Phase 2,RECRUITING,460,Hansoh BioMedical R&D Company,Hansoh,82,1,0,multi_experimental,6,hs-20089,hs-20089,B7-H4,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06023862,A Three-arm Randomized Phase II Study of Dostarlimab Alone or With Bevacizumab Versus Nonplatinum Chemotherapy in Recurrent Gynecological Clear Cell Carcinoma: DOVE (APGOT-OV7/ ENGOT-ov80 Study),PHASE2,Phase 2,RECRUITING,198,Yonsei University,Yonsei University,10,0,1,active_comparator,3,doxorubicin;gemcitabine;paclitaxel;pegylated liposomal doxorubicin,bevacizumab;dostarlimab,PD-1,Monoclonal Antibody,MSI-H;PD-L1;dMMR,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT06036121,A Study of ADRX-0706 in Select Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,144,Adcentrx Therapeutics,Adcentrx Therapeutics,2,1,0,multi_experimental,2,adrx-0706,adrx-0706,Nectin-4,ADC,Nectin-4 expression (H-score ≥100),1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06047379,"Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis",PHASE1;PHASE2,Phase 2,RECRUITING,134,"Neonc Technologies, Inc.",Neonc Technologies,4,1,0,multi_experimental,8,neo212 oral capsule,bevacizumab;carboplatin;folfiri protocol;ipilimumab;neo212 oral capsule;nivolumab;paclitaxel;pembrolizumab;regorafenib,,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06079671,Study of Volrustomig in Women With High Risk Locally Advanced Cervical Cancer (eVOLVE-Cervical),PHASE3,Phase 3,RECRUITING,800,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,,volrustomig,PD-1,Monoclonal Antibody,PD-L1,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT06123884,BAT1308 Combined with Platinum-Based Chemotherapy± Bevacizumab for PDL1-Positive (CPS ≥1) Cervical Cancer,PHASE2;PHASE3,Phase 3,RECRUITING,526,Bio-Thera Solutions,Bio-Thera Solutions,29,1,0,placebo_comparator,2,bevacizumab injection;carboplatin;cisplatin;paclitaxel for injection;recombinant humanized anti-pd-1 monoclonal antibody injection,bevacizumab injection;carboplatin;cisplatin;paclitaxel for injection;recombinant humanized anti-pd-1 monoclonal antibody injection,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT06132958,Sacituzumab Tirumotecan (MK-2870) in Post Platinum and Post Immunotherapy Endometrial Cancer (MK-2870-005),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,710,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,doxorubicin;nab-paclitaxel;paclitaxel,rescue medications;sacituzumab tirumotecan,TROP-1,ADC,PD-L1;TROP-1;TROP2,1,1,0,0,1,0,0,1,1,PD-L1+,recurrent · 2nd-line+ · measurable (RECIST)
NCT06155396,A Study of RC48-ADC Combination With Zimberelimab Injection Therapies at Least First-line Platinum-containing Standard Therapy Failed With Recurrent or Metastatic Cervical Cancer,PHASE2,Phase 2,RECRUITING,116,"RemeGen Co., Ltd.",RemeGen,51,1,0,single_arm,1,disitamab vedotin;zimberelimab,disitamab vedotin;zimberelimab,PD-1,Monoclonal Antibody,HER2;MET;PD-L1,1,1,0,1,1,0,0,0,1,"HER2+, PD-L1+",metastatic · measurable (RECIST)
NCT06157151,PRGN-2009 in Combination With Pembrolizumab in Patients With Recurrent or Metastatic Cervical Cancer,PHASE2,Phase 2,RECRUITING,24,"Precigen, Inc",Precigen,4,1,0,single_arm,1,prgn-2009 plus pembrolizumab,prgn-2009 plus pembrolizumab,HPV16,Oncolytic Virus,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06172478,A Study of HER3-DXd in Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE2,Phase 2,RECRUITING,740,Daiichi Sankyo,Daiichi Sankyo,178,1,1,single_arm,1,her3-dxd,her3-dxd,HER3,ADC,ALK;BRAF;CLDN18.2;ER;HER2;HER3;KRAS;MET;MMR;MSI;NTRK;PD-L1;RET;ROS1;genomic,1,1,1,1,1,0,1,1,1,"MSI-H/dMMR, HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0
NCT06180733,Neo-adjuvant Pembrolizumab as an Alternative Treatment for MMRd Uterine Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,12,University Medical Center Groningen,University Medical Center Groningen,15,0,1,single_arm,1,pembrolizumab injection [keytruda],pembrolizumab injection [keytruda],PD-1,Monoclonal Antibody,ATM;BARD1;BRCA1/2;CHEK2;FANCC;HRD;PALB2;PD-L1;RA;SLX4;XRCC2,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous
NCT06218914,"Phase 1 Study to Investigate TCRTs KRAS Mutation in Unresectable, Advanced, and/or Metastatic Solid Tumors",PHASE1,Phase 1,RECRUITING,108,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,engineered t cells targeting kras g12d,azd0240: autologous;engineered t cells targeting kras g12d;nt-112: autologous,KRAS,CAR-T,KRAS,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT06238479,"A Study of LY4101174 in Participants With Recurrent, Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,490,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly4101174,ly4101174,NECTIN4,ADC,NECTIN-4,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06238635,Dostarlimab and Cobolimab in Advanced Cervical Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,66,Meghan Shea,Meghan Shea,1,0,1,multi_experimental,2,cobolimab;dostarlimab,cobolimab;dostarlimab,PD-1,Monoclonal Antibody,MSI-H;PD-L1;dMMR,1,1,0,0,1,0,1,1,1,PD-L1+,metastatic · 1st-line · squamous · measurable (RECIST)
NCT06239194,Dose Escalation and Dose Expansion Study of MDX2001 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,285,"ModeX Therapeutics, An OPKO Health Company","ModeX Therapeutics, An OPKO Health",3,1,0,multi_experimental,4,mdx2001,mdx2001,CD3,Bispecific Antibody,MET;TROP2,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06242470,A Study of MGC026 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,250,MacroGenics,MacroGenics,29,1,0,multi_experimental,12,,mgc026 dose escalation;mgc026 dose for expansion,,,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06251947,Efbemalenograstim Alfa Injection for Ovarian or Cervical Cancer Receiving Chemotherapy Regimen,PHASE2,Phase 2,RECRUITING,83,Shandong University,Shandong University,3,0,0,single_arm,1,efbemalenograstim alfa,efbemalenograstim alfa,G-CSF,Small Molecule,,0,1,0,0,0,0,1,0,0,,metastatic · 1st-line · ECOG 2
NCT06257264,A Study to Examine the Safety of Different Doses of BG-68501 Given to Participants With Advanced-Stage Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,103,BeiGene,BeiGene/BeOne,149,1,1,multi_experimental,5,bg-68501,bg-68501;bgb-43395;fulvestrant,CDK2,Small Molecule,HER2,0,1,0,1,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT06265025,"GM103 Intratumoral Injection in Patients With Locally Advanced, Unresectable, Refractory and/or Metastatic Solid Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,125,"GeneMedicine Co., Ltd.",GeneMedicine,1,1,0,multi_experimental,3,,gm103 (part a);gm103 (part b);gm103 and pembrolizumab (part c),PD-1,Oncolytic Virus,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT06266338,Study of Pembrolizumab and Lenvatinib in Metastatic and Recurrent Cervix Cancer (LenPem Cervix),PHASE2,Phase 2,RECRUITING,30,University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,48,0,1,single_arm,1,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,1,1,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT06273553,A Study in Subjects With Human Papillomavirus 16 or 18 Associated Cervical Intraepithelial Neoplasia Grade 2 or 3,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,39,"RinuaGene Biotechnology Co., Ltd.",RinuaGene Biotechnology,1,1,0,single_arm,1,rg002 injection,rg002 injection,HPV16/HPV18,mRNA,HPV16;HPV18,0,1,0,0,0,0,0,0,0,,adenoca.
NCT06276491,"Phase 1, Safety and Tolerability Study of XmAb541 in Advanced Solid Tumors",PHASE1,Phase 1,RECRUITING,282,"Xencor, Inc.",Xencor,19,1,0,single_arm,1,xmab541,xmab541,CD33,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT06277154,MASCT-I Combined With Doxorubicin and Ifosfamide for First-line Treatment of Advanced Soft Tissue Sarcoma,PHASE2,Phase 2,RECRUITING,148,HRYZ Biotech Co.,HRYZ Biotech,8,1,0,active_comparator,2,doxorubicin;ifosfamide,doxorubicin;ifosfamide;masct-i,,Cell Therapy,PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT06278857,SATELLITE Study (feaSibility sAfeTy Efficacy dostarLimab earLy-stage defIcient endomeTrial cancEr),PHASE2,Phase 2,RECRUITING,10,Queensland Centre for Gynaecological Cancer,Queensland Centre for Gynaecological Cancer,2,0,1,single_arm,1,dostarlimab-gxly,dostarlimab-gxly,PD-1,Monoclonal Antibody,MMR;dMMR,1,1,0,0,0,0,0,0,0,,adenoca.
NCT06293898,Open Label Study to Evaluate BL-M07D1 in HER2 Expressing Malignant Solid Tumors,PHASE1,Phase 1,RECRUITING,280,SystImmune Inc.,SystImmune,7,1,0,multi_experimental,3,bl-m07d1,bl-m07d1,HER2,ADC,HER2;MET;PD-L1,1,1,0,1,1,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST) · ECOG 0-1
NCT06305962,177Lu-anti-PD-L1 sdAb in Metastatic Solid Tumors,EARLY_PHASE1,Phase 1,RECRUITING,30,"Radiopharm Theranostics, Ltd",Radiopharm Theranostics,7,1,0,single_arm,1,177lu-rad204,177lu-rad204,PD-L1,Radiopharmaceutical,MSI;PD-L1,0,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT06319963,A Study to Evaluate Lenti-HPV-07 Immunotherapy Against HPV+ Cervical or Oropharyngeal Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,72,Theravectys S.A.,Theravectys,1,1,0,multi_experimental,2,,one im injection lenti-hpv-07;two im injections lenti-hpv-07,HPV,mRNA,HPV,0,1,0,0,0,0,0,0,0,,
NCT06340568,A Clinical Study of the Anti-cancer Effects of an Investigational Therapy or Chemotherapy in Patients With Recurring Uterine Cancer,PHASE3,Phase 3,RECRUITING,480,BioNTech SE,BioNTech,45,1,0,active_comparator,3,docetaxel;doxorubicin;paclitaxel,bnt323/db-1303,HER2,ADC,HER2,1,1,0,1,0,0,0,0,1,HER2+,metastatic · measurable (RECIST)
NCT06358053,CRTE7A2-01 TCR-T Cells for HPV-16 Positive Advanced Cancers,PHASE1,Phase 1,NOT_YET_RECRUITING,24,"Corregene Biotechnology Co., Ltd",Corregene Biotechnology,4,1,0,single_arm,1,crte7a2-01 tcr-t cell therapy,crte7a2-01 tcr-t cell therapy,HPV16,Recombinant Protein,HLA-A*02:01;HPV16,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06366347,ALPINE: Maintenance Letrozole/Abemaciclib,PHASE2,Phase 2,RECRUITING,32,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,abemaciclib;letrozole;pembrolizumab,abemaciclib;letrozole;pembrolizumab,ER,Small Molecule,ER;HER2;MMR;TMB,0,1,0,0,0,0,0,0,0,,metastatic · ductal · measurable (RECIST)
NCT06380816,A Phase I/II Trial of UCB4594 in Participants With Advanced Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,167,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,ucb4594,ucb4594,,,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06395519,A Study of PARG Inhibitor ETX-19477 in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,120,"858 Therapeutics, Inc.",858 Therapeutics,1,1,0,multi_experimental,2,etx-19477,etx-19477,PARG,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06399757,A Study to Investigate APL-5125 in Adults With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,Apollo Therapeutics Ltd,Apollo Therapeutics,2,1,0,multi_experimental,2,apl-5125,apl-5125,,,KRAS,0,1,0,0,0,0,0,0,0,,metastatic · adenoca. · ECOG 1
NCT06400472,A Study of Sofe-M in Participants With Selected Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,575,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,11,sofe-m,bevacizumab;carboplatin;itraconazole;pembrolizumab;sofe-m,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,,metastatic · small-cell
NCT06444815,A Study of VET3-TGI in Patients With Solid Tumors,PHASE1,Phase 1,RECRUITING,60,KaliVir Immunotherapeutics,KaliVir Immunotherapeutics,1,1,0,multi_experimental,4,vet3-tgi,atezolizumab;vet3-tgi,TGF-β,Oncolytic Virus,,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT06459180,A Study to Compare Sacituzumab Tirumotecan (MK-2870) Monotherapy Versus Treatment of Physician's Choice as Second-line Treatment for Participants With Recurrent or Metastatic Cervical Cancer (MK-2870-020/TroFuse-020/Gog-3101/ENGOT-cx20),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,686,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,gemcitabine;irinotecan;pemetrexed;tisotumab vedotin;topotecan;vinorelbine,sacituzumab tirumotecan,TROP-1,ADC,PD-L1;TROP-1;TROP2,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT06459687,"Phase III Study of Socazolimab as First-Line Treatment in Persistent, Recurrent, or Metastatic Cervical Cancer",PHASE3,Phase 3,RECRUITING,440,Lee's Pharmaceutical Limited,Lee's Pharmaceutical,21,1,0,placebo_comparator,2,placebo+cisplatin/carboplatin+paclitaxel+bevacizumab,socazolimab+cisplatin/carboplatin+paclitaxel+bevacizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · small-cell · measurable (RECIST)
NCT06463028,Sapanisertib and Serabelisib (PIKTOR) With Paclitaxel and a Substudy With an Insulin-Suppressing Diet in Patients With Advanced/Recurrent Endometrial Cancer,PHASE2,Phase 2,RECRUITING,40,Faeth Therapeutics,Faeth Therapeutics,6,1,0,single_arm,1,paclitaxel;sapanisertib;serabelisib,paclitaxel;sapanisertib;serabelisib,mTOR,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06465069,A Study of LY4052031 in Participants With Advanced or Metastatic Urothelial Cancer or Other Solid Tumors,PHASE1,Phase 1,RECRUITING,420,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly4052031,ly4052031,NECTIN4,ADC,NECTIN-4,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06475599,Anlotinib Hydrochloride Capsules Combined With TQB2450 in the Treatment of Endometrial Cancer,PHASE3,Phase 3,NOT_YET_RECRUITING,420,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical,213,1,0,active_comparator,2,chemotherapy drug,anlotinib hydrochloride capsule + tqb2450 injection,VEGF/VEGFR,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,0,0,0,1,"MSI-H/dMMR, PD-L1+",metastatic · measurable (RECIST)
NCT06476808,"A Study to Evaluate the Safety, Tolerability, and Efficacy of Escalating Doses of BMS-986463 in Participants With Select Advanced Malignant Tumors.",PHASE1,Phase 1,RECRUITING,240,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,2,bms-986463,bms-986463,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic
NCT06481592,A Study of Lifileucel (Tumor-infiltrating Lymphocytes) in Adults With Advanced Endometrial Cancer.,PHASE2,Phase 2,RECRUITING,60,"Iovance Biotherapeutics, Inc.",Iovance Biotherapeutics,15,1,0,single_arm,1,lifileucel,lifileucel,,Cell Therapy,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic
NCT06486441,Study of Sacituzumab Govitecan Versus Treatment of Physician's Choice in Participants With Endometrial Cancer After Platinum-Based Chemotherapy and Immunotherapy (ASCENT-GYN-01/GOG-3104/ENGOT-en26),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,640,Gilead Sciences,Gilead Sciences,168,1,1,active_comparator,2,doxorubicin;paclitaxel,sacituzumab govitecan-hziy,TROP2,ADC,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,recurrent · measurable (RECIST)
NCT06502743,"First-line Carboplatin and Paclitaxel in Combination With Pembrolizumab, Followed by Maintenance Pembrolizumab With or Without Nesuparib, in Patients With Newly Diagnosed Advanced or Recurrent MMR-proficient (pMMR) Endometrial Cancer",PHASE2,Phase 2,RECRUITING,92,Yonsei University,Yonsei University,10,0,1,multi_experimental,3,pembrolizumab,nesuparib;pembrolizumab,PARP,Small Molecule,MMR-PROFICIENT;PR,0,1,0,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT06505551,Phase 1/2 Study of Autologous SCG142 TCR T Cells in Patients With HPV16/52-positive Carcinoma,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,66,SCG Cell Therapy Pte. Ltd.,SCG Cell Therapy Pte.,3,1,0,single_arm,1,cyclophosphamide;fludarabine;scg142,cyclophosphamide;fludarabine;scg142,HPV16,Cell Therapy,HPV16;HPV52,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06515613,A Phase 1 Study of CTIM-76 in Patients With Recurring Ovarian Cancer and Other Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,156,Context Therapeutics Inc.,Context Therapeutics,5,1,0,single_arm,1,ctim-76,ctim-76,CLDN6,Bispecific Antibody,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
