nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRCA/HRD,platinum_status,PD-L1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT05231122,Pembrolizumab Combined With Bevacizumab With or Without Agonist Anti-CD40 CDX-1140 for the Treatment of Patients With Recurrent Ovarian Cancer,PHASE2,Phase 2,RECRUITING,80,Roswell Park Cancer Institute,Roswell Park Cancer Institute,73,0,1,active_comparator,2,bevacizumab;pembrolizumab;quality-of-life assessment;questionnaire administration,anti-cd40 agonist monoclonal antibody cdx-1140;bevacizumab;pembrolizumab;quality-of-life assessment;questionnaire administration,CD40,Monoclonal Antibody,CDX,1,1,1,1,1,0,1,1,"BRCA/HRD+, platinum-status, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05239143,P-MUC1C-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,180,"Poseida Therapeutics, Inc.",Poseida Therapeutics,6,1,0,multi_experimental,8,p-muc1c-allo1 car-t cells;rimiducid,p-muc1c-allo1 car-t cells;rimiducid,MUC1,CAR-T,MUC1,1,1,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05257408,"Relacorilant in Combination With Nab-Paclitaxel in Advanced, Platinum-Resistant, High-Grade Epithelial Ovarian, Primary Peritoneal, or Fallopian-Tube Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,381,Corcept Therapeutics,Corcept Therapeutics,18,1,0,active_comparator,2,nab-paclitaxel,nab-paclitaxel;relacorilant,NR3C1,Small Molecule,,0,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · measurable (RECIST)
NCT05271318,Oncolytic Adenovirus Coding for TNFa and IL2 (TILT-123) With Pembrolizumab or Pembrolizumab (Phase 1a) and Pegylated Liposomal Doxorubicin (Phase 1b) as Treatment for Ovarian Cancer.,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,29,TILT Biotherapeutics Ltd.,TILT Biotherapeutics,6,1,1,multi_experimental,2,pembrolizumab;tilt-123,pegylated liposomal doxorubicin;pembrolizumab;tilt-123,TNF-α and IL-2,Oncolytic Virus,MET;PD-L1,1,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05281471,"Efficacy & Safety of Olvi-Vec and Platinum-doublet + Bevacizumab Compared to Physician's Choice of Chemotherapy and Bevacizumab in Platinum-Resistant/Refractory Ovarian Cancer (PRROC) (OnPrime, GOG-3076)",PHASE3,Phase 3,RECRUITING,186,Genelux Corporation,Genelux,6,1,0,active_comparator,2,bevacizumab (or biosimilar);docetaxel or nab-paclitaxel) or pegylated liposomal doxorubicin;non-platinum chemotherapy: physician's choice of gemcitabine;platinum chemotherapy: carboplatin (preferred) or cisplatin;taxane (paclitaxel,bevacizumab (or biosimilar);docetaxel or nab-paclitaxel) or pegylated liposomal doxorubicin;non-platinum chemotherapy: physician's choice of gemcitabine;olvimulogene nanivacirepvec;platinum chemotherapy: carboplatin (preferred) or cisplatin;taxane (paclitaxel,VEGF/VEGFR,Oncolytic Virus,,1,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0
NCT05296512,Pembrolizumab and Lenvatinib in Clear Cell Ovarian Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Elizabeth K. Lee MD,Elizabeth K. Lee MD,1,0,1,single_arm,1,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,VEGF/VEGFR,Small Molecule,PD-L1,0,1,0,0,1,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT05329532,"Modi-1 Moditope in Breast, Head and Neck, Ovarian, or Renal Cancer",PHASE1;PHASE2,Phase 2,RECRUITING,168,Scancell Ltd,Scancell,4,1,0,multi_experimental,3,device: micronjet600 microneedle device (nanopass);modi-1 moditope,device: micronjet600 microneedle device (nanopass);modi-1 moditope;pembrolizumab,PD-1,Peptide,PD-L1,0,1,0,0,1,1,0,1,PD-L1+,metastatic · 1st-line · measurable (RECIST)
NCT05335993,A Clinical Study Evaluating a Combination of Oregovomab and Niraparib in Adult Women With Platinum Sensitive Recurrent Ovarian Cancer.,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,CanariaBio Inc.,CanariaBio,5,1,0,single_arm,1,niraparib;oregovomab,niraparib;oregovomab,CA-125,Monoclonal Antibody,MUC1,1,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05377996,A Study of Emiltatug Ledadotin (Emi-Le) in Participants With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,360,"Day One Biopharmaceuticals, Inc.",Day One Biopharmaceuticals,7,1,0,single_arm,1,emi-le,emi-le,,,,0,1,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05403554,A Study of NI-1801 in Patients with Mesothelin Expressing Solid Cancers,PHASE1,Phase 1,RECRUITING,70,Light Chain Bioscience - Novimmune SA,Light Chain Bioscience - Novimmune,2,1,0,active_comparator,3,ni-1801 in combination with paclitaxel;paclitaxel,biological ni-1801;ni-1801 in combination with anti-pd1 (pembrolizumab),MSLN,Bispecific Antibody,Mesothelin;PR;biomarker;biomarker analysis,1,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0-1
NCT05427487,Study of Intratumoral IVX037 in Patients With Advanced or Metastatic Solid Tumours,PHASE1,Phase 1,RECRUITING,70,ImmVirx Pty Ltd,ImmVirx Pty,1,1,0,multi_experimental,2,ivx037,ivx037;sintilimab,PD-1,Oncolytic Virus,MMR;MSI;PD-L1,1,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05445778,"Mirvetuximab Soravtansine With Bevacizumab Versus Bevacizumab as Maintenance in Platinum-sensitive Epithelial Ovarian, Fallopian Tube, or Peritoneal Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,520,AbbVie,AbbVie,274,1,1,active_comparator,2,bevacizumab,mirvetuximab soravtansine plus bevacizumab,FOLR1,ADC,FRα,1,1,0,0,0,1,1,0,,metastatic · 1st-line
NCT05446298,ONC-392 and Pembrolizumab in Platinum Resistant Ovarian Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,58,"OncoC4, Inc.",OncoC4,10,1,1,multi_experimental,2,onc-392;pembrolizumab,onc-392;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1;PR,1,1,0,1,1,1,1,1,"platinum-status, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0
NCT05456685,"Mirvetuximab Soravtansine (MIRV) With Carboplatin in Second-line Treatment of Folate Receptor Alpha (FRα) Expressing, Platinum-sensitive Epithelial Ovarian Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,125,AbbVie,AbbVie,274,1,1,single_arm,1,carboplatin;mirvetuximab soravtansine,carboplatin;mirvetuximab soravtansine,FOLR1,ADC,FOLR1;MET,1,1,1,1,0,0,1,1,"BRCA/HRD+, platinum-status",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05467670,"Safety and Efficacy of Anti-CD47, ALX148 in Combination With Liposomal Doxorubicin and Pembrolizumab in Recurrent Platinum-resistant Ovarian Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,16,"Alexander B Olawaiye, MD","Alexander B Olawaiye, MD",4,0,1,single_arm,1,alx148;doxorubicin;pembrolizumab,alx148;doxorubicin;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,1,1,1,1,1,"BRCA/HRD+, platinum-status, PD-L1+",metastatic · 1st-line · squamous · measurable (RECIST)
NCT05479045,A Combination Therapy Strategy to Prevent Anti-PD-1 Therapy Resistance in Metastatic Ovarian Cancer Patients,PHASE2,Phase 2,NOT_YET_RECRUITING,24,Georgetown University,Georgetown University,55,0,0,single_arm,1,ny-eso-1 peptide vaccine;toripalimab-tpzi,ny-eso-1 peptide vaccine;toripalimab-tpzi,NY-ESO-1,Vaccine,NY-ESO-1;PD-L1;biomarker,1,1,1,1,1,0,1,1,"BRCA/HRD+, platinum-status, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05489211,Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03),PHASE2,Phase 2,RECRUITING,454,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,14,datopotamab deruxtecan (dato-dxd),bevacizumab;capecitabine;carboplatin;cisplatin;datopotamab deruxtecan (dato-dxd);fluorouracil;prednisone/ prednisolone;rilvegostomig;volrustomig,VEGF/VEGFR,Monoclonal Antibody,TROP2;genomic,1,1,0,0,0,0,0,0,,metastatic · squamous
NCT05512208,A Phase 2 Study of Avutometinib (VS-6766) Plus Defactinib,PHASE2,Phase 2,RECRUITING,55,University of Oklahoma,University of Oklahoma,23,0,0,single_arm,1,avutometinib (vs-6766) + defactinib,avutometinib (vs-6766) + defactinib,BRAF,Small Molecule,BRAF;MET,0,1,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05518253,A Clinical Study of CD70-targeted CAR-T in the Treatment of CD70-positive Advanced/Metastatic Solid Tumors,PHASE1,Phase 1,RECRUITING,30,"Weijia Fang, MD","Weijia Fang, MD",3,0,0,multi_experimental,2,cd70 car-t cells,cd70 car-t cells,CD70,CAR-T,CD70,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0
NCT05527184,First in Human Study of IMGN151 in Recurrent Gynaecological Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,256,AbbVie,AbbVie,274,1,1,single_arm,1,imgn151,imgn151,FRα,ADC,FRα,1,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0
NCT05538091,"Vismodegib Combined With Atezolizumab in Platinum Resistant Ovarian, Fallopian Tube, and Primary Peritoneal Cancer",PHASE2,Phase 2,RECRUITING,48,Ronald Buckanovich,Ronald Buckanovich,1,0,1,single_arm,1,atezolizumab;vismodegib,atezolizumab;vismodegib,SMO,Small Molecule,MET;biomarker,0,1,0,0,0,0,0,0,,metastatic · ductal · measurable (RECIST)
NCT05544929,A Study of Safety and Efficacy of KFA115 Alone and in Combo With Pembrolizumab in Patients With Select Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,126,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,3,kfa115,kfa115;pembrolizumab,PD-1,,BRAF;MSI;MSI-H;PD-L1,0,1,1,1,1,0,1,1,"BRCA/HRD+, platinum-status, PD-L1+",metastatic · 2nd-line+ · squamous
NCT05551507,IN10018 in Combination With Standard Chemotherapy in High-grade Serous Epithelial Ovarian Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,150,"InxMed (Shanghai) Co., Ltd.",InxMed (Shanghai),13,1,0,single_arm,1,in10018 in combination with pld,in10018 in combination with pld,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · measurable (RECIST)
NCT05568680,"SynKIR-110 for Mesothelin Expressing Ovarian Cancer, Cholangiocarcinoma or Mesothelioma",PHASE1,Phase 1,RECRUITING,42,Verismo Therapeutics,Verismo Therapeutics,2,1,0,single_arm,1,autologous t cells transduced with mesothelin kir-car;synkir-110,autologous t cells transduced with mesothelin kir-car;synkir-110,MSLN,CAR-T,mesothelin,1,1,0,0,0,0,1,0,,recurrent · 2nd-line+ · measurable (RECIST)
NCT05579366,"Rinatabart Sesutecan (Rina-S, PRO1184, GEN1184) for Advanced Solid Tumors (GCT1184-01/ PRO1184-001)",PHASE1;PHASE2,Phase 2,RECRUITING,884,Genmab,Genmab,65,1,1,multi_experimental,4,rina-s,bevacizumab;carboplatin;pembrolizumab;rina-s,VEGF/VEGFR,Monoclonal Antibody,HER2,1,1,1,1,0,0,1,1,"BRCA/HRD+, platinum-status",metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT05601752,ADP-A2M4CD8 Monotherapy and in Combination With Nivolumab in HLA-A2+ Subjects With MAGE-A4 Positive Ovarian Cancer (SURPASS-3),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,66,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified adp-a2m4cd8 cells;autologous genetically modified adp-a2m4cd8 cells in combination with nivolumab,PD-1,Monoclonal Antibody,BRAF,1,1,1,0,0,0,0,1,BRCA/HRD+,metastatic · squamous · measurable (RECIST)
NCT05605535,Oregovomab Plus Chemotherapy in Neo-adjuvant Setting in Newly Diagnosed Patients With Advanced Epithelial Ovarian Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,88,CanariaBio Inc.,CanariaBio,5,1,0,placebo_comparator,2,carboplatin;paclitaxel,carboplatin;oregovomab;paclitaxel,CA125,Monoclonal Antibody,GBRCA;HRD;MET;MUC1;PARP,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT05617755,"AB-1015, an Integrated Circuit T (ICT) Cell Therapy in Patients With Platinum Resistant Epithelial Ovarian Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,19,"Arsenal Biosciences, Inc.",Arsenal Biosciences,3,1,0,single_arm,1,ab-1015,ab-1015,MSLN,Cell Therapy,,1,1,0,1,0,0,0,1,platinum-status,metastatic · measurable (RECIST)
NCT05620134,Study of JK08 in Patients with Unresectable Locally Advanced or Metastatic Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,263,Salubris Biotherapeutics Inc,Salubris Biotherapeutics,2,1,0,multi_experimental,4,jk08,jk08;lenvatinib pill;pembrolizumab,CTLA-4,Monoclonal Antibody,ER;HER2;PR;genomic,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05636111,Phase 1b of Lurbinectedin in Combination With Weekly Paclitaxel and Bevacizumab in Platinum-resistant Ovarian Cancer,PHASE1,Phase 1,RECRUITING,34,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,single_arm,1,bevacizumab;lurbinectedin;paclitaxel,bevacizumab;lurbinectedin;paclitaxel,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · measurable (RECIST)
NCT05659381,"Heated Intraperitoneal Chemotherapy Followed by Niraparib for Ovarian, Primary Peritoneal and Fallopian Tube Cancer",PHASE3,Phase 3,RECRUITING,220,GOG Foundation,GOG Foundation,4,0,1,active_comparator,2,no treatment,cisplatin,,Small Molecule,HRD,0,1,1,0,0,0,0,1,BRCA/HRD+,metastatic · squamous
NCT05704621,Secondary Cytoreductive Surgery (CRS) in Patients With Relapsed Ovarian Cancer Who Have Progressed on PARP Inhibitor Maintenance,PHASE2,Phase 2,RECRUITING,124,Korea University Guro Hospital,Korea University Guro Hospital,4,0,0,active_comparator,2,,secondary cytoreductive surgery,PARP,Monoclonal Antibody,,1,0,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+
NCT05715216,"EON: A Single-arm Phase II Study of Etigilimab (OMP-313M32) in Combination With Checkpoint Inhibition (Nivolumab) in Patients With Platinum-resistant, Recurrent Epithelial Ovarian Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,23,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,single_arm,1,etigilimab;nivolumab,etigilimab;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · measurable (RECIST)
NCT05735080,"Open-Label Study to Evaluate the Safety, Tolerability, PK, and Efficacy of INX-315 in Patients With Advanced Cancer",PHASE1;PHASE2,Phase 2,RECRUITING,150,Incyclix Bio,Incyclix Bio,1,1,0,multi_experimental,4,inx-315,abemaciclib;fulvestrant;inx-315,HER2,Small Molecule,CCNE1;HER2,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05737199,Assessment of the Efficacy and Safety of Pembrolizumab for Ovarian Squamous Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,21,Niigata University Medical & Dental Hospital,Niigata University Medical & Dental Hospital,1,0,1,single_arm,1,mk-3475 (pembrolizumab),mk-3475 (pembrolizumab),PD-1,Monoclonal Antibody,CDX;MSI;MSI-H;PD-L1;TMB,1,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05739981,"Phase II IMNN-001 (Also Known as GEN-1) on SLL With BEV and NACT, Newly Diagnosed Advanced Ovarian, Fallopian Tube or Primary Peritoneal Cancer",PHASE1;PHASE2,Phase 2,RECRUITING,30,Imunon,Imunon,14,1,0,multi_experimental,2,bevacizumab;carboplatin;imnn-001;paclitaxel,bevacizumab;carboplatin;imnn-001;paclitaxel,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT05740956,A Study of Hansoh (HS)-10502 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,318,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",Hansoh,82,1,0,single_arm,1,hs-10502,hs-10502,,,HER2,0,1,1,0,0,0,0,1,BRCA/HRD+,metastatic · measurable (RECIST)
NCT05759923,"First-in-human Phase I Study to Evaluate Safety, Tolerability and Antineoplastic Activity of OATD-02 in Patients With Selected Advanced and/or Metastatic Solid Tumours",PHASE1,Phase 1,RECRUITING,40,Molecure S.A.,Molecure,1,1,0,single_arm,1,oatd-02,oatd-02,ARG1,Small Molecule,,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+
NCT05763199,Standardized Extract of Cultured Lentinula Edodes Mycelia (AHCC®) in Ovarian Cancer Patients on Adjuvant Chemotherapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,"University of California, Davis","University of California, Davis",42,0,0,placebo_comparator,2,,dietary supplement: ahcc,,,,0,0,0,0,0,0,0,0,,metastatic
NCT05768178,DETERMINE Trial Treatment Arm 05: Vemurafenib in Combination With Cobimetinib in Adult Patients With BRAF Positive Cancers.,PHASE2;PHASE3,Phase 3,RECRUITING,30,Cancer Research UK,Cancer Research UK,16,0,1,single_arm,1,cobimetinib;vemurafenib,cobimetinib;vemurafenib,BRAF,Small Molecule,BRAF;MET,0,1,0,0,0,0,0,0,,metastatic
NCT05786716,"DETERMINE Trial Treatment Arm 04: Trastuzumab in Combination With Pertuzumab in Adult, Paediatric and Teenage/Young Adult Patients With Cancers With HER2 Amplification or Activating Mutations",PHASE2;PHASE3,Phase 3,RECRUITING,30,Cancer Research UK,Cancer Research UK,16,0,1,single_arm,1,pertuzumab;trastuzumab,pertuzumab;trastuzumab,HER2,ADC,HER2;MET,1,1,0,0,0,0,0,0,,metastatic
NCT05787587,A Study of PARG Inhibitor IDE161 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,216,IDEAYA Biosciences,IDEAYA Biosciences,11,1,1,multi_experimental,4,ide-161,ide-161;pembrolizumab,PARG,Small Molecule,MSI,0,1,1,0,0,0,0,1,BRCA/HRD+,metastatic
NCT05794659,"Adjuvant Therapeutic Cancer Vaccine (AST-201, pUMVC3-hIGFBP-2) in Patients With Advanced Ovarian Cancer",PHASE2,Phase 2,NOT_YET_RECRUITING,98,Aston Sci. Inc.,Aston Sci.,4,1,0,placebo_comparator,2,carboplatin;paclitaxel;rhugm-csf(granulocyte-macrophage colony-stimulating factor),ast-201;carboplatin;paclitaxel;rhugm-csf(granulocyte-macrophage colony-stimulating factor),IGFBP2,Monoclonal Antibody,GPC3,1,1,1,0,0,0,0,1,BRCA/HRD+,adjuvant
NCT05797168,Phase I/IIa Study of AZD5335 as Monotherapy and Combination Therapy in Participants With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,602,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,torvutatug samrotecan,bevacizumab;carboplatin;palacaparib;pembrolizumab;saruparib;torvutatug samrotecan,PARP,Small Molecule,HRR;genomic,0,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05799274,Safety of RAD301 in Healthy Human Volunteers and Patients With Pancreatic Cancer or Other Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,9,"Radiopharm Theranostics, Ltd",Radiopharm Theranostics,7,1,0,single_arm,1,rad301 ([68ga]-rad301),rad301 ([68ga]-rad301),,Radiopharmaceutical,PR,0,1,0,0,0,0,0,0,,metastatic · squamous
NCT05804370,Gleolan for Visualization of Newly Diagnosed or Recurrent Ovarian Cancer (OVA-302),PHASE3,Phase 3,RECRUITING,170,NX Development Corp,NX Development,2,1,0,single_arm,1,gleolan,gleolan,,,,0,1,0,0,0,1,0,0,,recurrent · 1st-line
NCT05824975,"A Study to Evaluate the Safety and Therapeutic Activity of GI-102 As a Single Agent and in Combination with Conventional Anti-cancer Drugs, Pembrolizumab or Trastuzumab Deruxtecan(T-DXd) in Patients with Advanced Solid Tumors (KEYNOTE-G08)",PHASE1;PHASE2,Phase 2,RECRUITING,358,"GI Innovation, Inc.",GI Innovation,4,1,1,multi_experimental,7,,bevacizumab;doxorubicin;eribulin;gi-102;gi-102 subcutaneous (sc);paclitaxel;pembrolizumab;trastuzumab deruxtecan (t-dxd),CD80,Bispecific Antibody,,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05858736,"Safety, PK and Efficacy of AI-061 in Advanced Solid Tumors",PHASE1,Phase 1,COMPLETED,18,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,ai-061,ai-061,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05867251,Study of AVZO-021 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,430,"Avenzo Therapeutics, Inc.",Avenzo Therapeutics,4,1,0,multi_experimental,4,avzo-021,abemaciclib;avzo-021;carboplatin;fulvestrant;letrozole;palbociclib;ribociclib;sacituzumab govitecan-hziy,CDK2,Small Molecule,CCNE1;HER2;ctDNA,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT05872204,Abemaciclib and Letrozole in Patients With Estrogen Receptor-positive Rare Ovarian Cancer,PHASE2,Phase 2,RECRUITING,100,Universitaire Ziekenhuizen KU Leuven,Universitaire Ziekenhuizen KU Leuven,13,0,1,single_arm,1,abemaciclib;letrozole,abemaciclib;letrozole,ER,Small Molecule,ER;HER2,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05877599,A Study of NT-175 in Adult Participants With Advanced Malignancies That Are Positive for HLA-A*02:01 and the TP53 R175H Mutation,PHASE1,Phase 1,RECRUITING,45,AstraZeneca,AstraZeneca,780,1,1,single_arm,1,nt-175,nt-175,,Recombinant Protein,,0,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT05887609,An Evaluation of Maintenance Therapy Combination Mirvetuximab Soravtansine and Olaparib,PHASE2,Phase 2,RECRUITING,53,"University of Colorado, Denver","University of Colorado, Denver",46,0,1,multi_experimental,2,mirvetuximab soravtansine-gynx;olaparib,mirvetuximab soravtansine-gynx;olaparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,1,1,0,0,0,1,"BRCA/HRD+, platinum-status",metastatic · squamous · measurable (RECIST) · ECOG 0
NCT05891171,Study of AB598 Monotherapy and Combination Therapy in Participants With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,40,"Arcus Biosciences, Inc.",Arcus Biosciences,21,1,0,multi_experimental,8,ab598,ab598;fluorouracil;leucovorin;oxaliplatin;zimberelimab,CD39,Monoclonal Antibody,HER2,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT05902988,A Phase I/II Study of VLS-1488 in Subjects With Advanced Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,200,"Volastra Therapeutics, Inc.",Volastra Therapeutics,3,1,0,multi_experimental,4,vls-1488,vls-1488,KIF18A,Small Molecule,MSI;MSI-H;dMMR,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05920798,"Vaccine Therapy Plus Pembrolizumab in Treating Advanced Ovarian, Fallopian Tube, or Primary Peritoneal Cavity Cancer",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,38,Mayo Clinic,Mayo Clinic,31,0,0,single_arm,1,biopsy;biospecimen collection;computed tomography;magnetic resonance imaging;multi-epitope folate receptor alpha-loaded dendritic cell vaccine;pembrolizumab;pheresis,biopsy;biospecimen collection;computed tomography;magnetic resonance imaging;multi-epitope folate receptor alpha-loaded dendritic cell vaccine;pembrolizumab;pheresis,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,1,0,1,1,"platinum-status, PD-L1+",recurrent · 2nd-line+ · measurable (RECIST)
NCT05924776,Plasmodium Immunotherapy for Advanced Ovarian Cancer,PHASE2;PHASE3,Phase 3,NOT_YET_RECRUITING,30,"CAS Lamvac (Guangzhou) Biomedical Technology Co., Ltd.",CAS Lamvac (Guangzhou) Biomedical Technology,1,1,0,single_arm,1,plasmodium immunotherapy,plasmodium immunotherapy,,,,0,1,0,1,0,1,0,1,platinum-status,stage IV · 1st-line · measurable (RECIST) · ECOG 0-1
NCT05942300,CPI-0209 Plus Carboplatin in Patients With Platinum Sensitive Recurrent Ovarian Cancer,PHASE1,Phase 1,RECRUITING,30,Lan Coffman,Lan Coffman,1,0,1,multi_experimental,2,carboplatin;cpi-0209,carboplatin;cpi-0209,EZH2,Small Molecule,ARID1A;BAP1,0,1,1,1,0,0,0,1,"BRCA/HRD+, platinum-status",metastatic · squamous · measurable (RECIST)
NCT05952453,"Newly Diagnosed Stage III/IV Ovarian Cancer, Neoadjuvant Carbo/Taxol/Pembro, Maintenance Olaparib/Pembro",PHASE2,Phase 2,RECRUITING,20,University of Alabama at Birmingham,University of Alabama at Birmingham,65,0,1,single_arm,1,carboplatin;embro;olaparibp,carboplatin;embro;olaparibp,PARP,Small Molecule,BRCA;MET,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous
NCT05961124,Alternative Dosing Of Niraparib To Decrease Dose Interruption In First Line Maintenance Treatment For Ovarian Cancer,PHASE2,Phase 2,RECRUITING,40,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,26,0,1,single_arm,1,niraparib,niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,1,0,0,0,0,1,BRCA/HRD+,metastatic · squamous · ECOG 0
